timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
356000,356000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
360000,360000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
456000,456000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
556000,556000,1.7209867e-10,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
656000,656000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
756000,756000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
856000,856000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
956000,956000,0.0,9.507251e-12,7.275958e-12,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1056000,1056000,2.2273343e-11,0.0,0.0,2.910383e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
1156000,1156000,1.4551915e-11,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1256000,1256000,2.1827873e-11,0.0,0.0,4.63721e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
1356000,1356000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1456000,1456000,0.0,0.0,0.0,6.9461145e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
1556000,1556000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1656000,1656000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1756000,1756000,0.0,0.0,6.693881e-10,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1856000,1856000,0.0,0.0,1.3378111e-09,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
1956000,1956000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2056000,2056000,0.0,1.1540638e-09,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2156000,2156000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2256000,2256000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2356000,2356000,0.0,2.910383e-11,2.2273343e-11,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2456000,2456000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2556000,2556000,0.0,0.0,8.2411367e-10,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2656000,2656000,0.0,1.1350494e-09,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
2756000,2756000,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
