timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
352000,0.0004720213,0.37797713,4.2895615e-05,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
400000,-0.00075454003,-0.002984454,-0.00013714329,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
600000,-0.0002658461,0.0006334379,0.0001540258,0.0,0.0,2.3331325e-11,0,1,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
800000,0.00032638267,0.0015557932,0.00043730834,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1000000,0.0007245596,-0.00013858854,-0.0009278601,0.0,0.0,1.2844294e-11,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1200000,0.00019393838,0.0026838344,0.00027694096,0.0,0.0,2.9370614e-11,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1400000,-5.9599413e-05,0.003855901,0.00041870828,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1600000,0.00036974662,0.007220115,0.0003077007,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1800000,-0.00047137414,0.013423458,-0.0002477625,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
2000000,-0.0010498628,0.013978886,-0.0002227861,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
2200000,-0.00055541843,0.021899339,-0.00038821317,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
2400000,-0.00079116714,0.022938734,-0.00024366805,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
2600000,-0.0017437208,0.022496156,-0.0009365389,0.0,0.0,1.2844294e-11,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
2800000,-0.0020974597,0.023145374,-0.0008124578,0.0,0.0,2.0372683e-10,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
3000000,-0.0027392015,0.023214452,-0.0006147653,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
3200000,-0.0016272551,0.022769183,-0.00035144822,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
3400000,-0.0024475683,0.019439436,0.0005186238,0.0,0.0,3.3833203e-10,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
3600000,-0.0012888844,0.018435903,0.0017336541,0.0,0.0,2.5688588e-11,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
3800000,-0.0011473042,0.017206492,0.0025577086,0.0,0.0,3.4419737e-10,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
4000000,-0.0014267082,0.013839057,0.0043223416,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
4200000,-0.0005683575,0.012643121,0.00513177,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
4392000,-0.0011814189,0.0089716,0.0069574355,0.0,0.0,2.3283064e-10,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
4600000,-0.0033832453,0.008669841,0.00736565,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
4800000,-0.003716827,0.004917321,0.00898522,0.0,0.0,2.3283064e-10,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
5000000,-0.003407698,0.0040917196,0.0094349105,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
5200000,-0.004158854,0.0039875926,0.008937048,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
5400000,-0.0034353286,0.003422798,0.009011748,0.0,0.0,1.1641532e-10,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
5600000,-0.003356442,0.0021431153,0.007602636,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
5800000,-0.0032740696,0.0010946004,0.0055664517,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
6000000,-0.003262986,-0.0003140497,0.0043453393,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
6200000,-0.0033631057,0.00021937853,0.004051315,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
6400000,-0.002353359,-0.000107110514,0.0020122502,0.0,0.0,5.820766e-11,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
6600000,-0.002229769,-0.0019052963,0.0006060508,0.0,0.0,5.820766e-11,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
6800000,-0.023375068,0.023745826,-0.0011779064,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
7000000,-0.023848733,0.022881925,0.00043501286,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
7192000,-0.025998296,0.01951807,-0.0009920491,0.0,0.0,3.4924597e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
7400000,-0.027516874,0.019915314,-9.9142635e-05,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
7600000,-0.027493672,0.018857367,0.0007128329,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
7800000,-0.02857303,0.01889953,8.151732e-05,0.0,0.0,4.656613e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
8000000,-0.029366383,0.019069007,-0.0001465069,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
8200000,-0.028568259,0.018391691,-0.0006612962,0.0,0.0,-8.1490725e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
8400000,-0.031000245,0.017530952,-4.1530933e-05,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
8600000,-0.0301491,0.017782995,-0.0003793415,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
8800000,-0.030381734,0.017886259,-0.00033823866,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9000000,-0.030480811,0.01725259,-0.000499132,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9200000,-0.031144515,0.017191723,-9.391967e-05,0.0,0.0,-8.1490725e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9400000,-0.03225735,0.017688822,-0.00047448324,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
