timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_variance,test_ratio,estimator_instance,fusion_enabled,innovation_rejected,fused
1296000,1215683,0,0,0.3041687,12.25,-5.2452087e-06,35.810028,3.0731294e-14,0,0,0,0
1360000,1275710,0,0,0.4119873,12.25,-0.042274,36.66311,1.949743e-06,0,0,0,0
1416000,1335719,0,0,0.4263916,12.25,-0.10562533,32.495514,1.3733233e-05,0,0,0,0
1480000,1395751,0,0,0.35186768,12.25,0.035945028,33.329315,1.5506408e-06,0,0,0,0
1536000,1455758,0,0,0.5022278,12.25,-0.05214104,34.12918,3.1863506e-06,0,0,0,0
1600000,1515786,0,0,0.40234375,12.25,-0.059607714,30.899012,4.599603e-06,0,0,0,0
1656000,1575792,0,0,0.41680908,12.25,-0.019881785,31.671432,4.9923267e-07,0,0,0,0
1720000,1635816,0,0,0.47982788,12.25,-0.01786384,32.630905,3.9118348e-07,0,0,0,0
1776000,1695821,0,0,0.38970947,12.25,0.13183367,33.537888,2.0728934e-05,0,0,0,0
1840000,1755842,0,0,0.2729187,12.25,0.01724258,30.659792,3.8787817e-07,0,0,0,0
1896000,1815846,0,0,0.3322754,12.25,-0.00561586,31.521664,4.0020588e-08,0,0,0,0
1960000,1875864,1880000,0,0.2336731,12.25,0.13612732,32.578876,2.2751734e-05,0,0,0,0
2016000,1935868,1936000,0,0.35653687,12.25,-0.3017664,33.508755,0.000108703476,0,1,0,1
2080000,1995883,2000000,0,0.3847046,12.25,-0.12853321,20.470222,3.2282576e-05,0,1,0,1
2136000,2055886,2056000,0,0.34243774,12.25,-0.024742067,17.438326,1.404194e-06,0,1,0,1
2200000,2115899,2120000,0,0.38937378,12.25,-0.05292225,16.150354,6.936726e-06,0,1,0,1
2256000,2175902,2176000,0,0.45040894,12.25,-0.20135179,15.404106,0.000105277235,0,1,0,1
2320000,2235914,2240000,0,0.36590576,12.25,-0.092628,14.976478,2.2915796e-05,0,1,0,1
2376000,2295916,2296000,0,0.3001709,12.25,-0.02477783,14.666751,1.6743745e-06,0,1,0,1
2440000,2355926,2360000,0,0.34713745,12.25,-0.16633189,14.472713,7.646471e-05,0,1,0,1
2496000,2415928,2416000,0,0.3001709,12.25,-0.1229735,14.313647,4.226032e-05,0,1,0,1
2560000,2475936,2480000,0,0.38937378,12.25,-0.22712362,14.224613,0.00014505882,0,1,0,1
2616000,2535938,2536000,0,0.35183716,12.25,-0.18529056,14.132497,9.717347e-05,0,1,0,1
2680000,2595945,2600000,0,0.32833862,12.25,-0.20364812,14.083239,0.000117792675,0,1,0,1
2736000,2655947,2656000,0,0.47390747,12.25,-0.35171717,14.023331,0.00035285475,0,1,0,1
2800000,2715953,2720000,0,0.35183716,12.25,-0.2153848,14.001426,0.0001325311,0,1,0,1
2856000,2775954,2776000,0,0.3987732,12.25,-0.26416266,13.954025,0.00020003378,0,1,0,1
2920000,2835960,2840000,0,0.36120605,12.25,-0.22052568,13.941569,0.0001395297,0,1,0,1
2976000,2895961,2896000,0,0.24383545,12.25,-0.09743111,13.9038515,2.7309903e-05,0,1,0,1
3040000,2954965,2960000,0,0.3847046,12.25,-0.24943198,13.894157,0.00017911504,0,1,0,1
3096000,3015966,3016000,0,0.3940735,12.25,-0.24097708,13.858187,0.00016761197,0,1,0,1
3160000,3075970,3080000,0,0.44104004,12.25,-0.27811238,13.84842,0.00022340886,0,1,0,1
3216000,3135971,3136000,0,0.2814026,12.25,-0.10006519,13.81382,2.8994275e-05,0,1,0,1
3280000,3195974,3200000,0,0.3987732,12.25,-0.21859357,13.802595,0.00013847584,0,1,0,1
3336000,3255975,3256000,0,0.3847046,12.25,-0.19213769,13.768055,0.00010725376,0,1,0,1
3400000,3315978,3320000,0,0.3940735,12.25,-0.19247927,13.755229,0.00010773581,0,1,0,1
3456000,3375979,3376000,0,0.37530518,12.25,-0.16171002,13.720793,7.623505e-05,0,1,0,1
3520000,3435981,3440000,0,0.38000488,12.25,-0.16821939,13.70634,8.2582985e-05,0,1,0,1
3576000,3495982,3496000,0,0.4222412,12.25,-0.20194747,13.672229,0.00011931567,0,1,0,1
3640000,3555984,3560000,0,0.36120605,12.25,-0.12905824,13.656964,4.878399e-05,0,1,0,1
3696000,3615984,3616000,0,0.4034729,12.25,-0.18546802,13.6229105,0.00010100158,0,1,0,1
3760000,3675986,3680000,0,0.3940735,12.25,-0.16866352,13.606947,8.362605e-05,0,1,0,1
3816000,3735987,3736000,0,0.48797607,12.25,-0.25461861,13.574551,0.00019103583,0,1,0,1
3880000,3795988,3800000,0,0.38000488,12.25,-0.15903555,13.557272,7.462358e-05,0,1,0,1
3936000,3855989,3856000,0,0.49267578,12.25,-0.26761803,13.526045,0.00021179706,0,1,0,1
4000000,3915990,3920000,0,0.27200317,12.25,-0.03330317,13.509913,3.2838145e-06,0,1,0,1
4056000,3975990,3976000,0,0.4973755,12.25,-0.265457,13.48015,0.0002090998,0,1,0,1
4120000,4035991,4040000,0,0.31896973,12.25,-0.10811289,13.462769,3.4728062e-05,0,1,0,1
4176000,4095992,4096000,0,0.32366943,12.25,-0.11619738,13.434428,4.0200684e-05,0,1,0,1
4240000,4155993,4160000,0,0.43164062,12.25,-0.2285321,13.419107,0.00015567927,0,1,0,1
4296000,4215993,4216000,0,0.36120605,12.25,-0.18636483,13.390639,0.00010374964,0,1,0,1
4360000,4275994,4280000,0,0.290802,12.25,-0.11837676,13.375889,4.1905427e-05,0,1,0,1
4416000,4335994,4336000,0,0.34243774,12.25,-0.17586368,13.350704,9.266338e-05,0,1,0,1
4480000,4395995,4400000,0,0.36120605,12.25,-0.1978117,13.336817,0.00011735774,0,1,0,1
4536000,4455995,4456000,0,0.3847046,12.25,-0.25662684,13.31141,0.0001978974,0,1,0,1
4600000,4515996,4520000,0,0.4222412,12.25,-0.2949174,13.298301,0.0002616162,0,1,0,1
4656000,4575996,4576000,0,0.3048706,12.25,-0.1723715,13.276286,8.951881e-05,0,1,0,1
4720000,4635996,4640000,0,0.36590576,12.25,-0.27429396,13.26241,0.00022691858,0,1,0,1
4776000,4695996,4696000,0,0.32366943,12.25,-0.23202541,13.241902,0.00016262254,0,1,0,1
4840000,4755997,4760000,0,0.4034729,12.25,-0.31808117,13.230691,0.0003058816,0,1,0,1
4896000,4815997,4816000,0,0.31427002,12.25,-0.22556815,13.211721,0.00015404802,0,1,0,1
4960000,4875997,4880000,0,0.35183716,12.25,-0.300719,13.199897,0.00027403826,0,1,0,1
5016000,4935997,4936000,0,0.37060547,12.25,-0.3204959,13.182354,0.0003116822,0,1,0,1
5080000,4995998,5000000,0,0.36590576,12.25,-0.31866878,13.173169,0.00030835342,0,1,0,1
5136000,5055998,5056000,0,0.46450806,12.25,-0.44405943,13.155597,0.0005995586,0,1,0,1
5200000,5115998,5120000,0,0.3847046,12.25,-0.36106682,13.147409,0.00039663858,0,1,0,1
5256000,5175998,5176000,0,0.3048706,12.25,-0.28025457,13.132638,0.00023922879,0,1,0,1
5320000,5235999,5240000,0,0.37060547,12.25,-0.3540363,13.125535,0.0003819782,0,1,0,1
5376000,5295999,5296000,0,0.36120605,12.25,-0.36840153,13.110722,0.00041407236,0,1,0,1
5440000,5355999,5360000,0,0.32366943,12.25,-0.33518293,13.104626,0.00034292505,0,1,0,1
5496000,5415999,5416000,0,0.3095703,12.25,-0.3239706,13.092417,0.0003206648,0,1,0,1
5560000,5475999,5480000,0,0.3847046,12.25,-0.42744035,13.086132,0.00055846985,0,1,0,1
5616000,5535999,5536000,0,0.8192444,12.250135,-0.5998001,13.250155,0.0010860558,0,1,0,1
5680000,5595999,5600000,0,0.6502075,12.251217,-0.4156047,13.177354,0.0005243155,0,1,0,1
5736000,5655999,5656000,0,0.6220093,12.252164,-0.3849139,13.116629,0.00045181945,0,1,0,1
5800000,5715999,5720000,0,0.5703125,12.253245,-0.34318316,13.066895,0.00036052844,0,1,0,1
5856000,5775999,5776000,0,0.6218567,12.254191,-0.4144903,12.691299,0.0005414804,0,1,0,1
5920000,5836000,5840000,0,0.6123657,12.255272,-0.42415896,12.685136,0.00056731224,0,1,0,1
5976000,5896000,5896000,0,0.66381836,12.256216,-0.49598348,12.680546,0.00077599066,0,1,0,1
6040000,5956000,5960000,0,0.60723877,12.257295,-0.4582358,12.680556,0.00066236855,0,1,0,1
6096000,6016000,6016000,0,0.73373413,12.258237,-0.6006397,12.681276,0.001137955,0,1,0,1
6160000,6076000,6080000,0,0.6488037,12.259314,-0.5314516,12.686957,0.0008904918,0,1,0,1
6216000,6136000,6136000,0,0.61557007,12.260253,-0.48252863,12.562407,0.00074136717,0,1,0,1
6280000,6196000,6200000,0,0.65270996,12.261327,-0.5441437,12.573975,0.0009419212,0,1,0,1
6336000,6256000,6256000,0,0.5911865,12.262263,-0.5007224,12.585355,0.0007968721,0,1,0,1
6400000,6316000,6320000,0,0.60009766,12.263332,-0.53862643,12.601717,0.00092088536,0,1,0,1
6456000,6376000,6376000,0,0.7121887,12.264265,-0.6300234,12.529301,0.0012672041,0,1,0,1
6520000,6436000,6440000,0,0.5753174,12.26533,-0.5150554,12.548374,0.0008456302,0,1,0,1
6576000,6496000,6496000,0,0.6826477,12.266258,-0.6414774,12.566371,0.0013098237,0,1,0,1
6640000,6556000,6560000,0,0.6254883,12.267319,-0.3173099,12.455127,0.00032335462,0,1,0,1
6696000,6616000,6616000,0,0.5593262,12.268242,-0.24729097,12.453458,0.00019642037,0,1,0,1
6760000,6676000,6680000,0,0.5965271,12.269297,-0.28171766,12.45204,0.00025494565,0,1,0,1
6816000,6736000,6736000,0,0.6289673,12.270213,-0.32621184,12.422969,0.0003426368,0,1,0,1
6880000,6796000,6800000,0,0.6800842,12.271262,-0.37252912,12.423163,0.00044683611,0,1,0,1
6936000,6856000,6856000,0,0.56207275,12.272172,-0.24903524,12.424439,0.0001996663,0,1,0,1
7000000,6916000,6920000,0,0.64141846,12.273214,-0.32409203,12.42766,0.00033807056,0,1,0,1
7056000,6976000,6976000,0,0.5328369,12.2741165,-0.21014571,12.431481,0.00014209478,0,1,0,1
7120000,7035000,7040000,0,0.6592102,12.275152,-0.3320513,12.437528,0.000354598,0,1,0,1
7176000,7096000,7096000,0,0.7242737,12.276048,-0.39091513,12.443705,0.0004912191,0,1,0,1
7240000,7156000,7160000,0,0.6201477,12.277075,-0.30272928,12.41385,0.00029529925,0,1,0,1
7296000,7216000,7216000,0,0.600708,12.277962,-0.278863,12.417578,0.0002504984,0,1,0,1
7360000,7276000,7280000,0,0.6329346,12.27898,-0.3064419,12.422703,0.00030237105,0,1,0,1
7416000,7336000,7336000,0,0.64160156,12.27986,-0.3100189,12.427504,0.00030935163,0,1,0,1
7480000,7396000,7400000,0,0.6080017,12.2808695,-0.2706016,12.4338455,0.00023556742,0,1,0,1
7536000,7456000,7456000,0,0.5791626,12.281739,-0.23631218,12.439649,0.00017956599,0,1,0,1
