timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
608000,485290,0,0,0.0,0.0,1.0,1.0,-0.054379173,-0.04818522,1.3933369,1.3934381,8.489245e-05,6.664998e-05,0,1,0,0
808000,689448,0,0,0.0,0.0,1.0,1.0,-0.07797676,-0.07661723,1.3421046,1.3422724,0.00018121913,0.00017493323,0,1,0,0
1208000,1089666,0,0,0.0,0.0,1.0,1.0,-0.16170703,-0.17632368,1.1993976,1.2000227,0.00087207655,0.0010363151,0,1,0,0
1608000,1485798,0,0,-0.011119492,-0.00752684,1.0,1.0,-0.28986797,-0.33818403,1.1493074,1.1511934,0.0029243156,0.0039739087,0,1,0,0
2008000,1889878,0,0,0.0,0.0,1.0,1.0,-0.32806605,-0.41414258,1.1421553,1.1435753,0.0037692713,0.005999223,0,1,0,0
2408000,2289926,0,0,0.0,0.0,1.0,1.0,-0.3803813,-0.59133255,1.3331045,1.3312395,0.0043414426,0.010506726,0,1,0,0
2608000,2489943,0,0,0.0,0.0,1.0,1.0,-0.18091351,-0.31952694,1.3195713,1.3186046,0.0009921313,0.0030971367,0,1,0,0
3008000,2885966,0,0,0.0,0.0,1.0,1.0,0.0018830618,0.14488827,1.276118,1.2767906,1.11147145e-07,0.00065766805,0,1,0,0
3408000,3289979,0,0,0.0,0.0,1.0,1.0,0.000474412,0.39096105,1.2420975,1.2380624,7.2479573e-09,0.0049383794,0,1,0,0
3808000,3685988,0,0,0.0,0.0,1.0,1.0,-0.021418672,0.47900382,1.2143576,1.2086451,1.51111835e-05,0.00759345,0,1,0,0
4208000,4089993,0,0,-0.011119492,-0.00752684,1.0,1.0,-0.01871975,0.48449937,1.1890665,1.1861624,1.1788375e-05,0.007915936,0,1,0,0
4608000,4489996,0,0,0.0,0.00752684,1.0,1.0,-0.04442221,0.42033327,1.168815,1.1679529,6.753276e-05,0.006050931,0,1,0,0
4808000,4689997,0,0,0.0,0.00752684,1.0,1.0,-0.056678515,0.38661528,1.161254,1.1599892,0.00011065465,0.005154233,0,1,0,0
5208000,5089998,0,0,0.0,0.0,1.0,1.0,-0.08419903,0.32122064,1.1511128,1.1459525,0.00024635214,0.0036016398,0,1,0,0
5608000,5485999,0,0,0.0,0.00752684,1.0,1.0,-0.09915867,0.23672771,1.1453829,1.1345229,0.00034337657,0.0019758088,0,1,0,0
5808000,5689999,0,0,0.0,0.00752684,1.0,1.0,-0.09699778,0.19685361,1.1429493,1.1296701,0.00032927337,0.0013721295,0,1,0,0
6208000,6090000,0,0,0.0,0.0,1.0,1.0,-0.078754656,0.12957369,1.1369077,1.1208211,0.00021821633,0.00059918006,0,1,0,0
6408000,6290000,0,0,0.0,0.0,1.0,1.0,-0.06761498,0.09735065,1.1330568,1.116562,0.00016139653,0.00033951175,0,1,0,0
6808000,6690000,6728000,0,0.0,0.00752684,1.0,1.0,-0.000249556,-0.007715364,1.0001011,1.0001842,2.4908762e-09,2.3806354e-06,0,1,0,0
7208000,7090000,7128000,0,0.0,0.0,1.0,1.0,-0.0060039423,-0.0013452604,2.0148935,2.0149376,7.1561743e-07,3.592619e-08,0,1,0,1
7608000,7490000,7528000,0,0.0,0.0,1.0,1.0,-0.009413638,-0.009724529,1.5199052,1.5200883,2.3321606e-06,2.4884469e-06,0,1,0,1
8008000,7890000,7928000,0,-0.011119492,0.0,1.0,1.0,0.005341841,-0.016706472,1.3582435,1.3586111,8.4035787e-07,8.217398e-06,0,1,0,1
8408000,8290000,8328000,0,-0.011119492,0.00752684,1.0,1.0,-0.0017866455,-0.027488988,1.2807912,1.2812665,9.9691576e-08,2.3590548e-05,0,1,0,1
8808000,8690000,8728000,0,-0.011119492,0.0,1.0,1.0,-0.00037623104,-0.026548997,1.236655,1.2371192,4.578473e-09,2.2790016e-05,0,1,0,1
9208000,9090000,9128000,0,0.0,0.0,1.0,1.0,-0.013917527,-0.021746278,1.2087266,1.2091182,6.409971e-06,1.5644478e-05,0,1,0,1
9608000,9486000,9528000,0,0.0,0.0,1.0,1.0,-0.022310797,-0.022736866,1.1898072,1.1901164,1.6734532e-05,1.7375276e-05,0,1,0,1
10008000,9890000,9928000,0,0.0,0.0,1.0,1.0,-0.019432582,-0.0278637,1.1763947,1.1766324,1.2840087e-05,2.6393487e-05,0,1,0,1
10408000,10290000,10328000,0,0.0,0.0,1.0,1.0,-0.011814271,-0.02358763,1.1665865,1.1667681,4.785826e-06,1.90741e-05,0,1,0,1
10808000,10690000,10728000,0,0.0,0.0,1.0,1.0,-0.010540613,-0.025015106,1.1592517,1.15939,3.8336634e-06,2.158913e-05,0,1,0,1
11208000,11090000,11128000,0,0.0,0.0,1.0,1.0,-0.01374616,-0.021820048,1.1536727,1.153778,6.551491e-06,1.6506277e-05,0,1,0,1
11608000,11486000,11528000,0,0.0,0.0,1.0,1.0,-0.012085757,-0.019700432,1.1493733,1.1494539,5.0833105e-06,1.3505789e-05,0,1,0,1
12008000,11890000,11928000,0,-0.011119492,0.0,1.0,1.0,-0.0003148066,-0.018256865,1.1460243,1.1460863,3.4590257e-09,1.1633089e-05,0,1,0,1
12208000,12090000,12128000,0,-0.011119492,0.0,1.0,1.0,0.018548774,0.0005879456,1.1290331,1.1290753,1.218944e-05,1.2246482e-08,0,1,0,1
12608000,12486000,12528000,0,0.0,0.00752684,1.0,1.0,0.0043093823,-0.012684037,1.1294198,1.129453,6.577103e-07,5.697795e-06,0,1,0,1
12808000,12690000,12728000,0,0.0,0.0,1.0,1.0,0.009881961,0.00082658604,1.117299,1.1173242,3.496044e-06,2.4460025e-08,0,1,0,1
13208000,13090000,13128000,0,-0.011119492,0.0,1.0,1.0,0.013239143,-0.0064729503,1.1194377,1.1194575,6.262963e-06,1.4971212e-06,0,1,0,1
13608000,13490000,13528000,0,-0.011119492,0.0,1.0,1.0,0.0052710413,-0.011120672,1.121613,1.1216295,9.908543e-07,4.410346e-06,0,1,0,1
14008000,13886000,13928000,0,0.0,0.0,1.0,1.0,-0.0109686805,-0.010300292,1.1236538,1.1236687,4.2828833e-06,3.7767718e-06,0,1,0,1
14208000,14090000,14128000,0,0.0,0.0,1.0,1.0,-0.001190583,-0.00820469,1.1126032,1.1126133,5.096113e-08,2.420138e-06,0,1,0,1
