timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
608000,485290,0,0,0.01,0.01,-0.01,0.09,0.09,0.20250002,-0.97219193,-0.8835866,0.17458595,24.764305,24.78771,10.189428,0.0015266445,0.0012598586,0.000119654425,0,1,0,0
808000,689448,0,0,0.01,0.0,-0.01,0.09,0.09,0.20250002,-0.9779504,-0.99038744,0.43197647,6.4153256,6.433883,10.143701,0.005963139,0.0060981354,0.0007358406,0,1,0,0
1208000,1089666,0,0,0.02,-0.01,0.049999997,0.09,0.09,0.20250002,-1.4301372,-1.5586188,0.82755834,1.153853,1.1935496,9.907051,0.07090304,0.08141404,0.0027651126,0,1,0,0
1608000,1485798,0,0,0.01,0.0,-0.02,0.09,0.09,0.20250002,-1.7670901,-2.0655835,0.9713389,0.9206686,0.9715673,9.414935,0.13566694,0.17565988,0.004008522,0,1,0,0
2008000,1889878,0,0,0.01,-0.01,0.0,0.09,0.09,0.20250002,-1.2422903,-1.7231361,0.07755226,1.1519117,1.1510203,9.008132,0.053590395,0.10318491,2.6706326e-05,0,1,0,0
2408000,2289926,0,0,-0.01,0.0,0.02,0.09,0.09,0.20250002,-0.53676474,-1.1683214,-0.28900212,1.8946902,1.878152,4.7437963,0.0060826074,0.029070593,0.00070426485,0,1,0,0
2608000,2489943,0,0,0.02,0.03,0.0,0.09,0.09,0.20250002,-0.0606208,-0.21375929,-0.48723456,1.7074548,1.7241224,4.020611,8.609027e-05,0.0010600878,0.0023618054,0,1,0,0
3008000,2885966,0,0,0.0,0.0,0.01,0.09,0.09,0.20250002,0.09190998,1.1580068,-0.36527044,1.3546126,1.3281934,2.6344745,0.00024944238,0.040385075,0.0020257928,0,1,0,0
3408000,3289979,0,0,0.02,0.0,0.0,0.09,0.09,0.20250002,-0.117730886,1.6257408,-0.16553283,1.1242261,1.0358149,1.680538,0.0004931592,0.10206585,0.0006521987,0,1,0,0
3808000,3685988,0,0,0.0,0.0,0.03,0.09,0.09,0.20250002,-0.16149203,1.647431,-0.18628484,0.9052237,0.846315,1.1758448,0.0011524081,0.12827511,0.0011804973,0,1,0,0
4208000,4089993,0,0,0.0,0.0,-0.04,0.09,0.09,0.20250002,-0.16955821,1.4634961,-0.18844315,0.7249491,0.71160376,0.82216036,0.0015863176,0.120394014,0.0017276836,0,1,0,0
4608000,4489996,0,0,0.0,0.01,0.0,0.09,0.09,0.20250002,-0.21551786,1.1872889,-0.32145506,0.62358856,0.60670424,0.6331601,0.0029793973,0.09293852,0.006528103,0,1,0,0
4808000,4689997,0,0,0.01,0.02,0.03,0.09,0.09,0.20250002,-0.2625487,1.0356795,-0.39924115,0.6018752,0.5631003,0.5873826,0.0045811376,0.07619474,0.010854491,0,1,0,0
5208000,5089998,0,0,0.01,0.0,0.0,0.09,0.09,0.20250002,-0.33657056,0.78340286,-0.42018682,0.59687996,0.4937056,0.52238476,0.007591459,0.049723566,0.013519304,0,1,0,0
5608000,5485999,0,0,0.0,0.0,-0.03,0.09,0.09,0.20250002,-0.3399363,0.52781475,-0.4359107,0.6061845,0.44575682,0.5114784,0.0076251826,0.024999138,0.014860306,0,1,0,0
5808000,5689999,0,0,0.02,0.0,0.01,0.09,0.09,0.20250002,-0.33067375,0.4082441,-0.5227996,0.6028646,0.42530364,0.5492295,0.0072550373,0.015674753,0.019905662,0,1,0,0
6208000,6090000,0,0,0.0,0.0,-0.04,0.09,0.09,0.20250002,-0.22253358,0.20304577,-0.53893334,0.56872237,0.38343206,0.6305677,0.0034829786,0.0043009017,0.018424612,0,1,0,0
6408000,6290000,0,0,-0.02,0.0,0.0,0.09,0.09,0.20250002,-0.16071673,0.12034449,-0.5733317,0.54094887,0.36163315,0.6481712,0.0019099673,0.0016019323,0.020285336,0,1,0,0
6808000,6690000,6728000,0,0.0,0.0,0.01,0.09,0.09,0.20250002,-0.01068239,-0.028366301,-0.01886324,0.09307363,0.099587105,0.2080396,4.904223e-05,0.00032319326,6.841425e-05,0,1,0,0
7208000,7090000,7128000,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.03267545,-0.04694508,0.039190173,0.19268501,0.19383855,0.40739036,0.0002216436,0.00045477855,0.00015080078,0,1,0,1
7608000,7490000,7528000,0,0.02,0.0,0.0,0.09,0.09,0.20250002,-0.070752576,-0.072991505,0.046691507,0.16106972,0.16356133,0.30800527,0.0012431702,0.0013029388,0.00028312462,0,1,0,1
8008000,7890000,7928000,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.054379143,-0.09072653,0.05302879,0.15882257,0.16197781,0.27817947,0.0007447534,0.002032699,0.0004043508,0,1,0,1
8408000,8290000,8328000,0,0.01,-0.02,0.04,0.09,0.09,0.20250002,-0.07406895,-0.075244874,0.018164724,0.15854964,0.1613147,0.2661804,0.0013840988,0.0014039121,4.9583996e-05,0,1,0,1
8808000,8690000,8728000,0,0.0,0.0,-0.03,0.09,0.09,0.20250002,-0.061661042,-0.10042415,0.10538184,0.15543649,0.15734215,0.26152354,0.0009784277,0.0025638419,0.0016985593,0,1,0,1
9208000,9090000,9128000,0,-0.02,-0.01,0.01,0.09,0.09,0.20250002,-0.044720154,-0.07684024,0.058025643,0.15037018,0.15152569,0.2602903,0.0005319917,0.001558659,0.0005174185,0,1,0,1
9608000,9486000,9528000,0,0.0,-0.02,0.0,0.09,0.09,0.20250002,-0.0749792,-0.06288631,0.07049126,0.14487505,0.14554091,0.25976092,0.0015522012,0.001086894,0.00076516793,0,1,0,1
10008000,9890000,9928000,0,0.01,0.0,0.0,0.09,0.09,0.20250002,-0.082678,-0.08479478,0.06964453,0.13978721,0.14016679,0.25908968,0.001956016,0.0020518855,0.0007488312,0,1,0,1
10408000,10290000,10328000,0,0.0,-0.01,0.0,0.09,0.09,0.20250002,-0.06442212,-0.06930725,0.0653954,0.13541442,0.13563415,0.25811496,0.0012259285,0.0014166035,0.00066273694,0,1,0,1
10808000,10690000,10728000,0,-0.01,0.0,0.01,0.09,0.09,0.20250002,-0.053623803,-0.07911493,0.053801924,0.13178942,0.13192125,0.25616494,0.0008727597,0.001897851,0.0004519974,0,1,0,1
11208000,11090000,11128000,0,0.0,0.0,-0.049999997,0.09,0.09,0.20250002,-0.06588318,-0.07641667,0.112560794,0.12885419,0.12894127,0.25366265,0.0013474436,0.0018115247,0.0019979186,0,1,0,1
11608000,11486000,11528000,0,0.0,0.0,0.03,0.09,0.09,0.20250002,-0.06350973,-0.075295515,0.019764075,0.12652037,0.12658828,0.25111127,0.0012752053,0.00179145,6.22224e-05,0,1,0,1
12008000,11890000,11928000,0,0.02,0.01,0.02,0.09,0.09,0.20250002,-0.08589311,-0.08603756,0.029949453,0.1247029,0.124762386,0.24808887,0.002366465,0.0023732993,0.0001446207,0,1,0,1
12208000,12090000,12128000,0,0.01,0.0,-0.01,0.09,0.09,0.20250002,-0.059587978,-0.061144847,0.05143696,0.11849614,0.11854049,0.2414314,0.0011985967,0.0012615748,0.0004383458,0,1,0,1
12608000,12486000,12528000,0,0.0,-0.01,-0.02,0.09,0.09,0.20250002,-0.054284688,-0.055060595,0.05744531,0.11909019,0.11914401,0.24022046,0.00098978,0.0010178167,0.0005494892,0,1,0,1
12808000,12690000,12728000,0,0.0,0.0,-0.02,0.09,0.09,0.20250002,-0.053656925,-0.059870884,0.04718119,0.115152754,0.11519602,0.23565885,0.0010000857,0.001244669,0.00037784528,0,1,0,1
13208000,13090000,13128000,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.059389018,-0.06311057,0.024672978,0.11659727,0.11665539,0.23502007,0.001209996,0.0013657128,0.00010360916,0,1,0,1
13608000,13490000,13528000,0,0.0,0.01,0.04,0.09,0.09,0.20250002,-0.06663785,-0.072293155,-0.016853862,0.11767232,0.11774087,0.23388359,0.001509481,0.0017755262,4.8580176e-05,0,1,0,1
14008000,13886000,13928000,0,0.0,-0.02,-0.03,0.09,0.09,0.20250002,-0.0667141,-0.039712954,0.05554361,0.11838995,0.11846742,0.23262332,0.0015037665,0.0005325072,0.0005304872,0,1,0,1
14208000,14090000,14128000,0,0.0,0.0,-0.01,0.09,0.09,0.20250002,-0.058075123,-0.055949748,0.028736243,0.11462406,0.11468638,0.22903372,0.0011769674,0.0010918033,0.00014421836,0,1,0,1
14608000,14486000,14528000,0,0.01,-0.01,0.01,0.09,0.09,0.20250002,-0.07079107,-0.04423955,0.0068897437,0.11602604,0.11609772,0.228362,0.0017276729,0.0006743071,8.314619e-06,0,1,0,1
14808000,14690000,14728000,0,0.02,0.0,0.01,0.09,0.09,0.20250002,-0.07193971,-0.04870606,0.0031597372,0.11308773,0.113145754,0.22566634,0.001830551,0.0008386635,1.7696815e-06,0,1,0,1
15208000,15090000,15128000,0,0.0,0.01,0.0,0.09,0.09,0.20250002,-0.050773803,-0.059384115,0.01422338,0.1147355,0.11479952,0.22525877,0.00089875556,0.0012287415,3.5923935e-05,0,1,0,1
15608000,15490000,15528000,0,0.0,0.01,-0.03,0.09,0.09,0.20250002,-0.051889505,-0.052148946,0.043822154,0.115905404,0.11597368,0.22449201,0.00092921325,0.0009379757,0.00034217362,0,1,0,1
16008000,15890000,15928000,0,0.01,0.0,-0.01,0.09,0.09,0.20250002,-0.05888185,-0.039344054,0.021477299,0.116628096,0.11669573,0.2235776,0.0011891036,0.0005305951,8.252604e-05,0,1,0,1
16408000,16290000,16328000,0,-0.01,0.0,0.02,0.09,0.09,0.20250002,-0.0344766,-0.035955276,-0.0072745793,0.116972156,0.11703715,0.22259578,0.00040646797,0.00044183646,9.509525e-06,0,1,0,1
16808000,16690000,16728000,0,-0.01,0.0,0.0,0.09,0.09,0.20250002,-0.033558518,-0.03576675,0.018125486,0.117018,0.11707769,0.22174506,0.00038495756,0.00043706378,5.9263235e-05,0,1,0,1
17208000,17086000,17128000,0,0.01,-0.01,-0.01,0.09,0.09,0.20250002,-0.0531839,-0.023446774,0.03087184,0.11685969,0.116914034,0.22081767,0.00096817885,0.00018808733,0.0001726439,0,1,0,1
17608000,17490000,17528000,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.036900684,-0.035053153,0.019662898,0.11656248,0.11661036,0.21997464,0.00046727233,0.00042148004,7.0304384e-05,0,1,0,1
17808000,17690000,17728000,0,0.01,0.03,-0.01,0.09,0.09,0.20250002,-0.04232911,-0.060151882,0.026411349,0.11280151,0.112835936,0.21843332,0.00063536514,0.0012826584,0.00012773863,0,1,0,1
18208000,18090000,18128000,0,0.0,-0.01,0.02,0.09,0.09,0.20250002,-0.027420964,-0.0084923785,-0.00040033832,0.113387674,0.11342159,0.21808715,0.00026525257,2.5434485e-05,2.9395729e-08,0,1,0,1
18608000,18490000,18528000,0,0.02,0.0,0.02,0.09,0.09,0.20250002,-0.043645043,-0.01847922,0.0036522374,0.113692425,0.11372388,0.21785565,0.00067019055,0.00012010902,2.4491148e-06,0,1,0,1
19008000,18890000,18928000,0,0.0,0.0,0.01,0.09,0.09,0.20250002,-0.01389245,-0.018700803,0.016756257,0.11377069,0.11379785,0.21757007,6.785585e-05,0.00012292675,5.1619627e-05,0,1,0,1
