timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
340000,227000,0,0,0.035079196,-0.20525771,0.43415004,0.0,0.0,0.0,-0.035079196,0.20525771,-0.43415004,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
376000,295830,0,0,-0.008215181,-0.21609657,0.4286203,0.0,0.0,0.0,0.008215181,0.21609657,-0.4286203,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
448000,363040,0,0,-0.0013253897,-0.21601154,0.42937315,0.0,0.0,0.0,0.060663614,0.014925793,0.003723085,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
520000,434463,0,0,0.003055699,-0.21537818,0.4301196,0.0,0.0,0.0,0.0564633,0.014266536,0.0029397607,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
592000,507207,0,0,0.0008664307,-0.21452048,0.42185852,0.0,0.0,0.0,0.024423866,0.006391883,0.010992855,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
664000,579325,0,0,0.0032211065,-0.21736638,0.4292688,0.0,0.0,0.0,0.02227201,0.009222254,0.0035631955,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
736000,651332,0,0,0.0046363235,-0.21866739,0.4230381,0.0,0.0,0.0,0.02104347,0.010485649,0.009764761,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
808000,723073,0,0,0.003257161,-0.21670914,0.4294833,0.0,0.0,0.0,0.016653845,0.006267056,0.0011898875,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
880000,795448,0,0,0.000840504,-0.212031,0.4353049,0.0,0.0,0.0,0.01922344,0.0015721321,-0.0046470463,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
952000,867530,0,0,0.0013493238,-0.21544397,0.4286187,0.0,0.0,0.0,0.018864496,0.004992962,0.0020360053,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1024000,939535,0,0,0.006771572,-0.21503252,0.430063,0.0,0.0,0.0,0.0149536505,0.0048107803,0.0006300807,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1096000,1010880,0,0,0.0029334642,-0.21471919,0.43084583,0.0,0.0,0.0,0.010868655,0.0027332157,-0.00013554096,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1168000,1083612,0,0,-0.00021374573,-0.2097104,0.42847124,0.0,0.0,0.0,0.01421969,-0.00226821,0.0022361577,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1240000,1155309,0,0,0.0024961792,-0.21480498,0.42987752,0.0,0.0,0.0,0.015814666,0.003469646,0.0009844005,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1312000,1227676,0,0,-0.000120034674,-0.22604944,0.4357662,0.0,0.0,0.0,0.01089309,0.013736516,-0.0053488314,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1384000,1298636,0,0,0.0024862117,-0.215638,0.42850918,0.0,0.0,0.0,0.019664457,0.004808098,0.0022018552,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1456000,1371730,0,0,0.0026214262,-0.21454524,0.4255145,0.0,0.0,0.0,0.006694154,0.00071264803,0.005211383,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1528000,1443042,0,0,0.0026916354,-0.21480615,0.42847583,0.0,0.0,0.0,0.0073516206,0.0009922981,0.0022430122,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1600000,1515775,0,0,0.0040469435,-0.21093675,0.42393795,0.0,0.0,0.0,0.03197943,-0.00028973818,0.006667942,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1672000,1587446,0,0,0.0034927337,-0.21488592,0.42768764,0.0,0.0,0.0,0.0050906558,0.0012209415,0.0017305017,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1744000,1659812,0,0,0.0089290105,-0.21481252,0.43683264,0.0,0.0,0.0,0.0010832399,0.0011902899,-0.007424116,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1816000,1731114,0,0,0.0018106262,-0.21495268,0.43006206,0.0,0.0,0.0,0.05536012,0.0037665963,-0.0031448603,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1888000,1803843,0,0,-0.0023136507,-0.21874829,0.42927778,0.0,0.0,0.0,0.011608571,0.004860699,0.0007532835,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1960000,1875139,0,0,0.0039563226,-0.21541178,0.4292108,0.0,0.0,0.0,0.008152383,0.001675427,0.0008254051,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
2032000,1947869,0,0,0.0033872032,-0.21815851,0.42567447,0.0,0.0,0.0,0.06710576,0.0020413995,-0.0023682415,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
2104000,2019890,0,0,0.004834704,-0.21598934,0.42849144,0.0,0.0,0.0,0.070138335,0.00012546778,-0.0058262944,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
2176000,2091891,0,0,-0.003099761,-0.2169392,0.430421,0.0,0.0,0.0,0.012911937,0.0021770447,-0.0010050535,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
2248000,2163544,0,0,0.0020226177,-0.21517532,0.4310853,0.0,0.0,0.0,0.07304467,-0.0073895305,-0.012221456,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
2320000,2235909,0,0,0.0059407814,-0.21116821,0.42865813,0.0,0.0,0.0,0.002849801,-0.0036477149,0.0011023283,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
2392000,2307559,0,0,0.0039336793,-0.2154498,0.43192917,0.0,0.0,0.0,0.009530257,0.0010209829,-0.0020964742,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
2464000,2379924,0,0,0.008253217,-0.215922,0.43409088,0.0,0.0,0.0,0.04226976,-0.010708898,-0.013401061,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
2536000,2451572,0,0,-2.1175736e-06,-0.21503323,0.42950797,0.0,0.0,0.0,0.055097163,-0.011128709,-0.009139806,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
2608000,2523937,0,0,-0.00021249364,-0.2179498,0.42843106,0.0,0.0,0.0,0.009092274,0.0034825653,0.0018911064,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
2680000,2595947,0,0,0.0028930425,-0.21262863,0.43001002,0.0,0.0,0.0,0.029430207,-0.0093064755,-0.004625201,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
2752000,2667947,0,0,0.004219947,-0.213099,0.43127894,0.0,0.0,0.0,0.0040587285,-0.0013604462,-0.001095891,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
2824000,2739956,0,0,0.0018465033,-0.21580341,0.4300533,0.0,0.0,0.0,0.011170108,0.0018597096,0.00026923418,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
2888000,2807956,0,0,0.0021187053,-0.21894261,0.42705694,0.0,0.0,0.0,0.007819051,0.0019959211,0.0019203126,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
