timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
608000,485290,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0
808000,689448,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0
1208000,1089666,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
1608000,1485798,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
2008000,1889878,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
2408000,2289926,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
2608000,2489943,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
3008000,2885966,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
3408000,3289979,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
3808000,3685988,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
4208000,4089993,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
4608000,4489996,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
4808000,4689997,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
5208000,5089998,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
5608000,5485999,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
5808000,5689999,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6208000,6090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6408000,6290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
6808000,6690000,0.0007526841,0.0005004883,0.0,1,0,0,0,0,0,0,0,0,0,0
7208000,7090000,3.0107389e-05,0.00037976078,0.0,1,0,0,0,0,0,0,0,0,0,0
7608000,7490000,2.8903092e-05,0.00066364266,0.00080000004,1,0,0,0,0,0,0,0,0,0,0
8008000,7890000,0.0011122954,0.0007378049,0.000768,1,0,0,0,0,0,0,0,0,0,0
8408000,8290000,0.0012909839,0.0006075847,0.0013904696,1,0,0,0,0,0,0,0,0,0,0
8808000,8690000,0.001026284,8.2793005e-05,0.0013348508,1,0,0,0,0,0,0,0,0,0,0
9208000,9090000,0.00013886714,0.0010804579,0.0011640309,1,0,0,0,0,0,0,0,0,0,0
9608000,9486000,0.00013336801,0.0006378916,0.0018992517,1,0,0,0,0,0,0,0,0,0,0
10008000,9890000,0.00012797993,0.00058722007,0.0019156104,1,0,0,0,0,0,0,0,0,0,0
10408000,10290000,0.00012286073,0.0014639999,0.0022204742,1,0,0,0,0,0,0,0,0,0,0
10808000,10690000,0.0001179463,0.0004927537,0.0020585195,1,0,0,0,0,0,0,0,0,0,0
11208000,11090000,0.000113228445,2.4393026e-05,0.0019761787,1,0,0,0,0,0,0,0,0,0,0
11608000,11486000,0.00010874459,0.0010752057,0.0018979219,1,0,0,0,0,0,0,0,0,0,0
12008000,11890000,0.0010164318,0.0018313279,0.0017114358,1,0,0,0,0,0,0,0,0,0,0
12208000,12090000,0.0009961033,0.00019558019,0.0017981238,1,0,0,0,0,0,0,0,0,0,0
12608000,12486000,0.0007317113,0.00028854323,0.0020469811,1,0,0,0,0,0,0,0,0,0,0
12808000,12690000,0.00016158391,0.00011712333,0.002005223,1,0,0,0,0,0,0,0,0,0,0
13208000,13090000,0.00096651714,1.4782134e-05,0.001925014,1,0,0,0,0,0,0,0,0,0,0
13608000,13490000,0.0009278565,1.4190849e-05,0.0015266486,1,0,0,0,0,0,0,0,0,0,0
14008000,13886000,0.00022683293,0.000111285146,0.0021295547,1,0,0,0,0,0,0,0,0,0,0
14208000,14090000,0.00022220553,0.0008889099,0.002086112,1,0,0,0,0,0,0,0,0,0,0
14608000,14486000,0.0002134062,0.0004539288,0.0025413884,1,0,0,0,0,0,0,0,0,0,0
14808000,14690000,0.0002090527,0.00034396065,0.0027205436,1,0,0,0,0,0,0,0,0,0,0
15208000,15090000,0.00020069059,0.0010321066,0.0023102013,1,0,0,0,0,0,0,0,0,0,0
15608000,15490000,0.00019266295,0.000591042,0.001951284,1,0,0,0,0,0,0,0,0,0,0
16008000,15890000,0.00093166594,0.00043357635,0.0022039318,1,0,0,0,0,0,0,0,0,0,0
16408000,16290000,0.00022128383,0.00011716099,0.0017856425,1,0,0,0,0,0,0,0,0,0,0
16808000,16690000,0.0009030665,0.00048872177,0.001419745,1,0,0,0,0,0,0,0,0,0,0
17208000,17086000,0.0007598974,0.00036866037,0.0019230759,1,0,0,0,0,0,0,0,0,0,0
17608000,17490000,0.00024354205,0.00065283873,0.0018453836,1,0,0,0,0,0,0,0,0,0,0
17808000,17690000,0.00023867121,0.00014234544,0.0016053587,1,0,0,0,0,0,0,0,0,0,0
18208000,18090000,0.00022912434,3.594361e-05,0.0017578168,1,0,0,0,0,0,0,0,0,0,0
18608000,18490000,0.00083661155,0.00056669046,0.0023667833,1,0,0,0,0,0,0,0,0,0,0
