timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
792000,792000,0,nan,nan,-0.38630277,-0.3675532,0.098870836,0.00010163891,-2.8856424e-05,0.0,-1.768796,-1.7684189,0.50606877,0.5003186,0.025409726,-0.0072141057,-0.02028095,-3.5305555,-3.9743285,1.3418243,0.76409495,0.0,nan,0.1,0.7766553,5.8462667,3.5568585,3.1522224,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1296000,1296000,1204000,47.397742099999995,8.5455934,-0.45619848,-0.5078281,0.38618258,0.00010163891,-2.8856424e-05,0.0,-1.9448868,-2.202447,1.0813946,1.0533035,0.025409726,-0.0072141057,-0.02028095,-3.28076,-3.9248078,1.1873142,0.79917824,0.0,488.3202,0.1,0.74845105,4.853867,1.5594956,3.1261668,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1792000,1792000,1204000,47.397742099999995,8.5455934,-0.83086336,-0.9971032,0.62860537,0.00010163891,-2.8856424e-05,0.0,-2.3469834,-2.9549952,1.1506574,0.9965713,0.025409726,-0.0072141057,-0.02028095,-2.3634892,-3.5148966,0.7466692,0.90005773,0.0,488.3202,0.1,0.5201713,4.2092505,1.3596759,2.9631033,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2296000,2296000,1204000,47.397742099999995,8.5455934,-0.3965192,-0.6089381,0.24990937,0.00010163891,-2.8856424e-05,0.0,-0.5709327,-1.2212969,-0.30370635,-0.44803816,0.025409726,-0.0072141057,-0.02028095,0.5894959,0.06324023,-0.1507271,1.6563953,0.0,488.3202,0.1298213,0.64364386,1.6247193,1.644833,2.230648,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
2792000,2792000,1204000,47.397742099999995,8.5455934,-0.013888193,-0.000401543,0.03714067,0.00010163891,-2.8856424e-05,0.0,0.18198608,0.810855,-0.5307012,-0.9900923,0.025409726,-0.0072141057,-0.02028095,-0.27896443,2.2908444,0.10243523,2.1286077,0.0,488.3202,0.20307255,0.74884605,1.3132747,1.6569198,1.7825507,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
3296000,3296000,1204000,47.397742099999995,8.5455934,0.037007052,0.5811504,0.14216289,0.00010163891,-2.8856424e-05,0.0,-0.07170464,1.8961082,-0.22122076,-0.4569817,0.025409726,-0.0072141057,-0.02028095,-0.80582416,2.6327498,0.22588669,2.2320888,0.0,488.3202,0.15907243,0.56761456,1.1903262,1.2432443,1.3051659,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
3792000,3792000,1204000,47.397742099999995,8.5455934,-0.0071685584,0.6376831,0.19629285,0.00010163891,-2.8856424e-05,0.0,-0.16145216,1.8420564,-0.17616983,-0.10422499,0.025409726,-0.0072141057,-0.02028095,-0.63916606,2.2959473,0.1359023,2.1231427,0.0,488.3202,0.14082861,0.63324666,1.1312293,1.2333686,0.9857839,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
4296000,4296000,1204000,47.397742099999995,8.5455934,-0.04608485,0.73530155,0.19004953,0.00010163891,-2.8856424e-05,0.0,-0.22541775,1.7498851,-0.22438002,-0.101077154,0.025409726,-0.0072141057,-0.02028095,-0.5464521,1.819866,0.021763144,2.0375032,0.0,488.3202,0.10066661,0.50128824,1.0215076,0.9557865,0.7396414,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
4792000,4792000,1204000,47.397742099999995,8.5455934,-0.06182345,0.5057038,0.059964143,0.00010163891,-2.8856424e-05,0.0,-0.2674413,1.1397117,-0.38635093,-0.24877521,0.025409726,-0.0072141057,-0.02028095,-0.5413679,1.0212445,-0.07841735,1.8783382,0.0,488.3202,0.14318222,0.55354583,0.9659511,0.97688437,0.6187166,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
5296000,5296000,1204000,47.397742099999995,8.5455934,-0.11795808,0.47082335,-0.039209183,0.00010163891,-2.8856424e-05,0.0,-0.37402382,0.89234555,-0.45747015,-0.31044385,0.025409726,-0.0072141057,-0.02028095,-0.55728024,0.6724164,-0.121844925,1.8108926,0.0,488.3202,0.16590217,0.61927414,0.9249911,1.0417991,0.5663705,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
5792000,5792000,1204000,47.397742099999995,8.5455934,-0.11189207,0.23624259,0.19393535,0.00010163891,-2.8856424e-05,0.2608209,-0.3221257,0.42757764,-0.527205,-0.305224,0.025409726,-0.0072141057,-0.02028095,-0.39887744,0.30551168,-0.12538674,1.7355429,0.0,488.3202,0.13729472,0.5101654,0.9015079,0.9061328,0.5861853,inf,inf,inf,inf,0,1,0,1,1,2,1,1,0,0,1,1,0,0,1
6296000,6296000,1204000,47.397742099999995,8.5455934,-0.09571503,0.15178475,0.025637388,0.00010163891,-2.8856424e-05,0.2608209,-0.22551303,0.20397058,-0.60398793,-0.34104076,0.025409726,-0.0072141057,-0.02028095,-0.25704175,0.055049658,-0.08825026,1.7009982,0.0,488.3202,0.18746407,0.5753095,0.55657744,0.95462567,0.6515276,inf,inf,inf,inf,0,1,0,1,1,2,1,1,0,0,1,1,0,0,1
6792000,6792000,1204000,47.397742099999995,8.5455934,-0.009151414,0.023917906,0.11695683,0.00010163891,-2.8856424e-05,0.2608209,-0.035370447,-0.024897419,-0.25803795,0.18877777,0.025409726,-0.0072141057,-0.02028095,-0.082378834,-0.11542555,0.070285045,1.6636525,-0.094838224,488.3202,0.30146638,0.016690642,0.42450517,0.10814312,0.073268324,inf,inf,inf,inf,0,1,0,1,1,2,1,1,1,0,1,1,0,0,1
7296000,7296000,1204000,47.397742099999995,8.5455934,0.05953331,-0.05084261,0.33270547,0.000249556,0.007715364,0.2608209,0.04793307,-0.09293978,0.025479011,0.45250583,0.01068239,0.028366301,0.01886324,-0.10859037,-0.1489207,0.06597395,1.6625055,-0.094838224,488.3202,0.1,1.0056762,0.37154543,0.32009575,0.318186,inf,inf,inf,inf,1,1,1,1,2,2,2,2,1,0,1,1,0,0,0
