timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
960000,880000,1310988,-0.00014581303,0.0011970443,-1.4636623e-05,0.15,0.012601224,0.012604347,0.012613119,1310988,0.0,0.0,0.0,0.4,0.050452486,0.050452486,0.050452486,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
1168000,1088000,1310988,-0.0005270469,0.004821289,-5.3815573e-05,0.15,0.013154477,0.013172233,0.013223372,1310988,0.0,0.0,0.0,0.4,0.052893713,0.052893713,0.052893713,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
1376000,1296000,1310988,-0.0015519591,0.015664108,-0.00017181074,0.15,0.013435404,0.013506083,0.013723823,1310988,0.0,0.0,0.0,0.4,0.054896362,0.054896362,0.054896362,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
1584000,1504000,1310988,-0.0035486233,0.04082749,-0.00045570996,0.15,0.013235406,0.013429986,0.014128513,1310988,0.0,0.0,0.0,0.4,0.056517027,0.056517027,0.056517027,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
1792000,1712000,1310988,-0.0063759238,0.08567944,-0.0009889952,0.15,0.012352925,0.012713789,0.014452338,1310988,0.0,0.0,0.0,0.4,0.05781442,0.05781442,0.05781442,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
2000000,1920000,1310988,-0.009687212,0.14551997,-0.0017237872,0.15,0.010854195,0.011292788,0.014709497,1310988,0.0,0.0,0.0,0.4,0.058844164,0.058844164,0.058844164,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
2208000,2128000,1310988,-0.0133406175,0.20357652,-0.0025127612,0.15,0.009112664,0.009430904,0.014908335,1310988,0.0,0.0,-0.00031022716,0.4,0.059655968,0.059655968,0.059655838,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
2216000,2136000,1310988,-0.013343689,0.15003455,-0.0025133397,0.15,0.00911686,0.009435248,0.014915203,1310988,0.0,0.0,-0.0003102986,0.4,0.05968344,0.05968344,0.05968331,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
2416000,2336000,1310988,-0.016372051,0.19017233,-0.0031377294,0.15,0.0075066164,0.007622611,0.015042269,1310988,0.0,0.0,-0.00077252527,0.4,0.060292594,0.060292594,0.06029107,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
2424000,2344000,1310988,-0.01637497,0.15002675,-0.0031382886,0.15,0.007509294,0.0076253293,0.015047636,1310988,0.0,0.0,-0.000772663,0.4,0.060314097,0.060314097,0.060312573,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
