timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
804000,0,1691481500788323,0,473977421,85455934,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,0.49968776,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
2004000,0,1691481501992323,0,473977421,85455934,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.0,5.5232687,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
3000000,0,1691481502984323,0,473977421,85455934,488099,488099,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,0.013264502,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
3800000,0,1691481503784323,0,473977421,85455934,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.03,5.130221,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
4804000,0,1691481504788323,0,473977421,85455935,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.02,0.03,1.0564477,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
5804000,0,1691481505788323,0,473977421,85455935,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.01,0.24678954,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
6804000,0,1691481506788323,0,473977421,85455935,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.786868,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
8004000,0,1691481507992323,0,473977420,85455934,488107,488107,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.7525587,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
8804000,0,1691481508788323,0,473977420,85455934,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,0.28501227,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
10004000,0,1691481509984323,0,473977421,85455934,488095,488095,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,6.1095247,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
10804000,0,1691481510788323,0,473977421,85455934,488105,488105,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.01,2.7848473,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
12004000,0,1691481511984323,0,473977420,85455934,488119,488119,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.01,0.02,0.64053583,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
12804000,0,1691481512788323,0,473977421,85455934,488100,488100,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,1.5179129,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
14000000,0,1691481513984323,0,473977421,85455934,488100,488100,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,-0.03,4.6451936,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
14804000,0,1691481514788323,0,473977421,85455934,488105,488105,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.01,5.948082,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
16004000,0,1691481515992323,0,473977420,85455934,488098,488098,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,0.172264,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
16804000,0,1691481516788323,0,473977420,85455934,488107,488107,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,3.184353,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
17804000,0,1691481517788323,0,473977421,85455934,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.03,-0.01,1.1192796,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
19004000,0,1691481518988323,0,473977421,85455934,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,5.5319953,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
20004000,0,1691481519988323,0,473977421,85455934,488107,488107,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.04,1.7802358,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
21000000,0,1691481520988323,0,473977421,85455934,488107,488107,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,0.49916413,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
22004000,0,1691481521988323,0,473977421,85455935,488106,488106,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,5.8700657,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
22804000,0,1691481522788323,0,473977421,85455935,488108,488108,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,-0.01,0.04,5.6257195,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
