timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
1000000,4000000.0,1.0,0.0,0.0,116,0,0.0,18,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000,4000000.0,1.0,0.0,0.0,349,0,0.0,40,0,0,0,0,0.0,0,2,0,1,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512000,4000000.0,1.0,24226.096,0.0,482,0,932.27094,53,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3456000,4000000.0,1.0,17501.992,0.0,707,0,555.7769,73,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4456000,4000000.0,1.0,16956.176,0.0,949,0,513.9442,95,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5456000,4000000.0,1.0,17464.145,0.0,1182,0,527.8885,117,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6456000,4000000.0,1.0,17484.064,0.0,1420,0,533.86456,139,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7456000,4000000.0,1.0,20455.18,0.0,1818,0,533.86456,161,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8456000,4000000.0,1.0,25306.773,0.0,2255,0,533.86456,183,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9456000,4000000.0,1.0,25543.826,0.0,2693,0,533.86456,205,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10456000,4000000.0,1.0,25536.854,0.0,3130,0,533.86456,227,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11456000,4000000.0,1.0,25456.176,0.0,3703,0,558.76495,250,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
