timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
256000,0,1,0,1,0,1,1,0,1,1,1,1,0
760000,0,1,0,1,0,1,1,0,1,1,1,1,0
1000000,0,1,0,1,0,1,1,0,1,1,1,1,0
1504000,0,1,0,1,0,1,1,0,1,1,1,1,0
2008000,0,1,0,1,0,1,1,0,1,1,1,1,0
2512000,0,1,0,1,0,1,1,0,1,1,1,1,0
2524000,0,1,0,1,0,1,1,0,1,1,1,1,0
3028000,0,1,0,1,0,1,1,0,1,1,1,1,0
3532000,0,1,0,1,0,1,1,0,1,1,1,1,0
4036000,0,1,0,1,0,1,1,0,1,1,1,1,0
4540000,0,1,0,1,0,1,1,0,1,1,1,1,0
5044000,0,1,0,1,0,1,1,0,1,1,1,1,0
5548000,0,1,0,1,0,1,1,0,1,1,1,1,0
6052000,0,1,0,1,0,1,1,0,1,1,1,1,0
6556000,0,1,0,1,0,1,1,0,1,1,1,1,0
7060000,0,1,0,1,0,1,1,0,1,1,1,1,0
7564000,0,1,0,1,0,1,1,0,1,1,1,1,0
7816000,0,1,0,1,0,1,1,0,1,1,1,1,0
8320000,0,1,0,1,0,1,1,0,1,1,1,1,0
8824000,0,1,0,1,0,1,1,0,1,1,1,1,0
9328000,0,1,0,1,0,1,1,0,1,1,1,1,0
9832000,0,1,0,1,0,1,1,0,1,1,1,1,0
10336000,0,1,0,1,0,1,1,0,1,1,1,1,0
10840000,0,1,0,1,0,1,1,0,1,1,1,1,0
11344000,0,1,0,1,0,1,1,0,1,1,1,1,0
11848000,0,1,0,1,0,1,1,0,1,1,1,1,0
12352000,0,1,0,1,0,1,1,0,1,1,1,1,0
12856000,0,1,0,1,0,1,1,0,1,1,1,1,0
13360000,0,1,0,1,0,1,1,0,1,1,1,1,0
13864000,0,1,0,1,0,1,1,0,1,1,1,1,0
14368000,0,1,0,1,0,1,1,0,1,1,1,1,0
14872000,0,1,0,1,0,1,1,0,1,1,1,1,0
15376000,0,1,0,1,0,1,1,0,1,1,1,1,0
