timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
600000,0,1691481500588323,11468804,473977421,85455934,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.01,-0.01,0.8063421,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
804000,0,1691481500788323,0,473977421,85455934,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.01,0.49968776,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
1204000,0,1691481501192323,0,473977421,85455934,488105,488105,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,-0.01,0.049999997,5.6796503,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
1600000,0,1691481501584323,0,473977420,85455933,488098,488098,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.02,0.1808161,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
2004000,0,1691481501992323,0,473977421,85455934,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.0,5.5232687,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
2404000,0,1691481502388323,0,473977421,85455934,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.02,2.8094566,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
2604000,0,1691481502592323,0,473977421,85455934,488100,488100,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.03,0.0,0.9393362,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
3000000,0,1691481502984323,0,473977421,85455934,488099,488099,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,0.013264502,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
3404000,0,1691481503392323,0,473977421,85455934,488103,488103,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.0,0.3115413,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
3800000,0,1691481503784323,0,473977421,85455934,488110,488110,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.03,5.130221,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
4204000,0,1691481504192323,0,473977420,85455933,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.04,2.282716,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
4604000,0,1691481504584323,0,473977421,85455935,488103,488103,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.9207348,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
4804000,0,1691481504788323,0,473977421,85455935,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.02,0.03,1.0564477,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
5204000,0,1691481505188323,0,473977421,85455934,488103,488103,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,0.615054,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
5600000,0,1691481505584323,0,473977421,85455935,488097,488097,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,5.989446,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
5804000,0,1691481505788323,0,473977421,85455935,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.01,0.24678954,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
6204000,0,1691481506188323,0,473977421,85455934,488098,488098,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.04,2.7899086,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
6404000,0,1691481506392323,0,473977421,85455934,488099,488099,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.0,0.0,3.378085,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
6804000,0,1691481506788323,0,473977421,85455935,488104,488104,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.786868,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
7204000,0,1691481507188323,0,473977421,85455934,488103,488103,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.1215212,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
7604000,0,1691481507588323,0,473977421,85455934,488106,488106,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.0,5.994508,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
8004000,0,1691481507992323,0,473977420,85455934,488107,488107,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.7525587,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
8404000,0,1691481508388323,0,473977420,85455935,488106,488106,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.02,0.04,5.144532,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
8804000,0,1691481508788323,0,473977420,85455934,488101,488101,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,0.28501227,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
9204000,0,1691481509188323,0,473977421,85455934,488111,488111,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,-0.01,0.01,3.5622168,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
