timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
636000,636000,1310988,1310988,-5.326317e-06,-1.5978969e-05,2.13054e-06,-0.0014087254,-0.00041959874,-0.039982207,4000,4000,0,0,1,1
1136000,1136000,1310988,1310988,2.1305314e-06,-1.7044234e-05,2.1305314e-06,-0.0013991485,-0.00039565668,-0.039900802,4000,4000,0,0,1,1
1636000,1636000,1310988,1310988,-3.1957877e-06,-1.8109497e-05,1.0652654e-05,-0.0013512647,-0.00036213791,-0.039886437,4000,4000,0,0,1,1
2136000,2136000,1310988,1310988,4.261043e-06,-2.8762144e-05,1.6898096e-11,-0.0014470328,-0.00051536685,-0.039924745,4000,4000,0,0,1,1
2636000,2636000,1310988,1310988,-1.0652716e-06,-1.5978967e-05,-1.0652734e-06,-0.0014709748,-0.0005680392,-0.039843347,4000,4000,0,0,1,1
3136000,3136000,1310988,1310988,-6.391588e-06,-2.2370557e-05,1.0652509e-06,-0.0014997051,-0.00055846246,-0.039814614,4000,4000,0,0,1,1
3636000,3636000,1310988,1310988,-5.3263216e-06,-2.663161e-05,-4.261079e-06,-0.001461398,-0.00043875247,-0.03983376,4000,4000,0,0,1,1
4136000,4136000,1310988,1310988,-1.0652805e-06,-1.7044229e-05,8.522127e-06,-0.0015236471,-0.00041959874,-0.03987686,4000,4000,0,0,1,1
4636000,4636000,1310988,1310988,1.4184799e-12,-2.024001e-05,1.8109517e-05,-0.0016002617,-0.0005440972,-0.039948687,4000,4000,0,0,1,1
5136000,5136000,1310988,1310988,-1.1717903e-05,-1.4913708e-05,-5.3263284e-06,-0.0014661864,-0.0005776161,-0.039867286,4000,4000,0,0,1,1
5636000,5636000,1310988,1310988,-1.7044238e-05,-1.704423e-05,-4.2610577e-06,-0.001437456,-0.00062550005,-0.039929535,4000,4000,0,0,1,1
6136000,6136000,1310988,1310988,3.195797e-06,-9.58738e-06,-1.0652578e-06,-0.0013608414,-0.00059676974,-0.03993911,4000,4000,0,0,1,1
6636000,6636000,1310988,1310988,-2.1305493e-06,-2.9827419e-05,1.704421e-05,-0.0014422444,-0.00041481035,-0.03998699,4000,4000,0,0,1,1
7136000,7136000,1310988,1310988,3.1957914e-06,-5.326326e-06,-4.261056e-06,-0.0014997051,-0.0004722712,-0.03993911,4000,4000,0,0,1,1
7636000,7636000,1310988,1310988,-1.2783172e-05,-1.7044236e-05,2.130528e-06,-0.001461398,-0.0006446537,-0.03993911,4000,4000,0,0,1,1
8136000,8136000,1310988,1310988,-7.456852e-06,-1.7044234e-05,2.130526e-06,-0.0014709748,-0.0005824045,-0.0399439,4000,4000,0,0,1,1
8636000,8636000,1310988,1310988,-2.1305134e-06,-3.0892672e-05,-4.26105e-06,-0.0014518212,-0.0004722712,-0.039900802,4000,4000,0,0,1,1
9136000,9136000,1310988,1310988,2.1305268e-06,-8.522129e-06,-1.7044229e-05,-0.0013416877,-0.00038607995,-0.04003009,4000,4000,0,0,1,1
