timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
1048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.43289247,0.020344893,1.2261016e-11,-0.20810401,0.19268553,-9.953463,0.0001704423,-0.00479369,0.0011717908,0.0005015295,0.00057805434,0.00040350715,3.4923112e-06,2.2932181e-06,4.633719e-06,11.827328,11.827328
2048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.05588566,0.0034991074,1.0403882e-11,-0.2186385,0.18033145,-9.950877,-0.0011291803,-0.005113269,-0.00021305298,0.00023966338,0.0002965077,0.0004577522,1.4733336e-06,2.7187639e-06,4.1845324e-06,11.827328,11.827328
3048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02543379,0.0021978065,1.1237311e-11,-0.21768081,0.16826467,-9.936799,-0.00019174763,-0.0053476277,-0.0005539376,0.00021826317,0.00041535532,0.00040167652,3.212397e-06,2.966526e-06,2.635546e-06,11.827328,11.827328
4048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023448538,0.002142297,1.4097196e-11,-0.22045809,0.18339603,-9.9232,-0.0011717909,-0.005475459,0.00017044222,0.00015234285,0.00037068242,0.00041258172,2.9315368e-06,3.3930173e-06,3.13769e-06,11.827328,11.827328
5048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023178572,0.0022698564,1.2162342e-11,-0.20705056,0.1652001,-9.93383,-0.00076699036,-0.0040906155,-0.00038349524,0.00026182792,0.0003119273,0.00034647266,2.8625036e-06,4.248837e-06,6.135422e-06,11.827328,11.827328
6048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023361342,0.002076223,1.2793465e-11,-0.21432893,0.16989273,-9.944748,-0.0017257284,-0.005475459,0.000894822,0.000217881,0.00038954127,0.00048233423,4.380283e-06,3.747639e-06,1.4591487e-06,11.827328,11.827328
7048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023603378,0.0022210637,1.0719716e-11,-0.20312408,0.17583035,-9.931627,-0.0006817692,-0.0049854377,-0.00042610586,0.00041352102,0.0003100548,0.0002206889,2.092739e-06,3.8743565e-06,3.286158e-06,11.827328,11.827328
8048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02637574,0.0021871347,8.439278e-12,-0.21672313,0.16031593,-9.940917,-0.0014274544,-0.004857606,-0.00044741118,0.000368829,0.00068188366,0.00032860108,1.2227345e-06,3.2700816e-06,2.0965215e-06,11.827328,11.827328
9048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027636338,0.0020449478,8.806009e-12,-0.19507955,0.16194399,-9.934309,-0.001107875,-0.004665858,4.261049e-05,0.00022791237,0.0007264993,0.00033185768,3.5679639e-06,3.4346263e-06,1.4402356e-06,11.827328,11.827328
10048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.029961798,0.0022341695,1.3672257e-11,-0.19594146,0.16769007,-9.922529,-0.0010439592,-0.0059228702,-8.5221276e-05,0.00026543916,0.0010143514,0.00082257064,2.7773947e-06,6.3434672e-06,2.9239714e-06,11.827328,11.827328
11048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.028410645,0.0021251922,1.1899815e-11,-0.2045606,0.1519841,-9.918411,-0.00074568513,-0.005390238,-0.0005965482,0.0004887085,0.0009473036,0.00048519316,2.884254e-06,6.674447e-06,2.0407278e-06,11.827328,11.827328
12048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02663971,0.0021078528,1.1090767e-11,-0.18875886,0.15619789,-9.923488,-0.00027696876,-0.0041758367,-0.0007882957,0.000600773,0.0005074336,0.00025556143,2.4379037e-06,3.3731583e-06,4.3528594e-06,11.827328,11.827328
13048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.029374026,0.0023199802,1.2542659e-11,-0.18531121,0.15313332,-9.926552,-0.0015765914,-0.005368933,-0.0007456852,0.00050538924,0.0014767487,0.00047908069,3.2975058e-06,5.577485e-06,2.1513697e-06,11.827328,11.827328
14048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027884593,0.0021799807,1.1993797e-11,-0.18243816,0.15725134,-9.920327,-0.00049002166,-0.0052837115,0.0009800432,0.00068117655,0.0007565168,0.00044382515,4.300848e-06,5.293788e-06,1.6946173e-06,11.827328,11.827328
15048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.028918387,0.0021061513,1.4513664e-11,-0.17659631,0.15907094,-9.918795,-0.0012357067,-0.0057737334,-8.522127e-05,0.00061921147,0.00061959366,0.00041351904,3.3268213e-06,3.2785927e-06,4.011477e-06,11.827328,11.827328
16048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027830755,0.002079738,9.1091934e-12,-0.16797718,0.1511222,-9.91755,-0.0012357067,-0.0040267,-0.00059654814,0.00032228357,0.0006550569,0.00042595866,3.0667657e-06,3.3116908e-06,2.8681777e-06,11.827328,11.827328
17048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.029576922,0.0021688074,1.0872452e-11,-0.16213533,0.14374804,-9.918795,-0.0012996226,-0.0053476277,-0.00019174769,0.00047602103,0.0011232633,0.000522434,1.7513566e-06,5.661648e-06,2.2903814e-06,11.827328,11.827328
18048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.028671633,0.002113334,1.28106544e-11,-0.15169662,0.14528033,-9.911995,-0.0018748654,-0.0057311226,2.1305184e-05,0.00044609906,0.000635663,0.00082162174,2.4379037e-06,2.7490248e-06,2.3991317e-06,11.827328,11.827328
19048000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.028809551,0.0020932038,1.2897358e-11,-0.15514427,0.1448015,-9.92186,-0.0014061491,-0.0059015653,0.00014913689,0.0005072999,0.0010160902,0.0006335616,1.7466285e-06,5.0337326e-06,2.4000774e-06,11.827328,11.827328
