timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
720000,0,1,1,1,0,0,1,1,0,0,1,0
1720000,0,1,1,1,0,0,1,1,0,0,1,0
1960000,0,1,1,1,1,1,1,0,0,0,1,0
2960000,0,1,1,1,1,1,1,0,0,0,1,0
3960000,0,1,1,1,1,1,1,0,0,0,1,0
4960000,0,1,1,1,1,1,1,0,0,0,1,0
5960000,0,1,1,1,1,1,1,0,0,0,1,0
6520000,0,1,1,1,1,1,1,0,0,0,1,1
6824000,0,1,1,1,0,0,1,0,0,0,1,1
6840000,0,1,1,1,1,1,1,0,0,0,1,1
7840000,0,1,1,1,1,1,1,0,0,0,1,1
8840000,0,1,1,1,1,1,1,0,0,0,1,1
9840000,0,1,1,1,1,1,1,0,0,0,1,1
10840000,0,1,1,1,1,1,1,0,0,0,1,1
11840000,0,1,1,1,1,1,1,0,0,0,1,1
12840000,0,1,1,1,1,1,1,0,0,0,1,1
13840000,0,1,1,1,1,1,1,0,0,0,1,1
14840000,0,1,1,1,1,1,1,0,0,0,1,1
15840000,0,1,1,1,1,1,1,0,0,0,1,1
16840000,0,1,1,1,1,1,1,0,0,0,1,1
17840000,0,1,1,1,1,1,1,0,0,0,1,1
18840000,0,1,1,1,1,1,1,0,0,0,1,1
19840000,0,1,1,1,1,1,1,0,0,0,1,1
20840000,0,1,1,1,1,1,1,0,0,0,1,1
21840000,0,1,1,1,1,1,1,0,0,0,1,1
22840000,0,1,1,1,1,1,1,0,0,0,1,1
23840000,0,1,1,1,1,1,1,0,0,0,1,1
24840000,0,1,1,1,1,1,1,0,0,0,1,1
25840000,0,1,1,1,1,1,1,0,0,0,1,1
26840000,0,1,1,1,1,1,1,0,0,0,1,1
27840000,0,1,1,1,1,1,1,0,0,0,1,1
28840000,0,1,1,1,1,1,1,0,0,0,1,1
29840000,0,1,1,1,1,1,1,0,0,0,1,1
30840000,0,1,1,1,1,1,1,0,0,0,1,1
31840000,0,1,1,1,1,1,1,0,0,0,1,1
32840000,0,1,1,1,1,1,1,0,0,0,1,1
